ClaimID,PolicyID,Name, ClaimAmount ,ClaimType,ClaimStatus,Claimed Date,Claim Settlement Date,Date of Loss
84,909716,Diane Young," $8,966.00 ",Theft,Rejected,10/3/2023,11/1/2023,9/28/2023
85,298033,Rhonda Sawyer," $5,785.00 ",Accident,Rejected,11/14/2023,12/3/2023,11/10/2023
86,162462,Andrea Robinson," $8,772.00 ",Vandalism,Rejected,1/19/2024,2/4/2024,1/18/2024
87,826981,Daniel Perez," $7,783.00 ",Collision,Rejected,12/16/2023,1/2/2024,12/12/2023
88,866132,Gabriela Dennis," $5,960.00 ",Vandalism,Approved,8/29/2023,9/23/2023,8/28/2023
89,270970,Johnny Stafford," $9,162.00 ",Theft,Approved,11/26/2023,12/19/2023,11/23/2023
90,955861,James Armstrong," $6,961.00 ",Vandalism,Approved,7/29/2023,8/23/2023,7/24/2023
91,955861,James Armstrong," $2,120.00 ",Collision,Approved,9/19/2023,10/9/2023,9/18/2023
92,998161,Rebecca Hughes," $8,833.00 ",Accident,Approved,2/14/2024,3/4/2024,2/11/2024
93,866132,Gabriela Dennis," $7,268.00 ",Collision,Rejected,7/1/2024,7/16/2024,6/29/2024
94,166377,Jamie Jones," $6,392.00 ",Collision,Pending,6/9/2023,6/25/2023,6/7/2023
95,928628,Juan Pierce," $7,135.00 ",Theft,Pending,7/7/2023,7/31/2023,7/3/2023
96,616801,Jo Patterson," $3,049.00 ",Collision,Approved,7/26/2023,8/13/2023,7/22/2023
97,254965,Sarah Campbell," $7,290.00 ",Theft,Rejected,6/2/2024,6/17/2024,6/1/2024
98,398935,Roy Ingram," $5,575.00 ",Accident,Pending,7/24/2024,8/12/2024,7/21/2024
99,162462,Andrea Robinson," $7,533.00 ",Collision,Approved,1/13/2024,2/6/2024,1/13/2024
100,719688,Anna Drake MD," $8,940.00 ",Theft,Pending,6/24/2024,7/23/2024,6/20/2024
101,6138-90-74-04,Rajaraman Srinivasan , $500.00 ,Collision,Approved,4/24/2023,7/24/2023,4/12/2023
102,6138-90-74-04,Rajaraman Srinivasan , $500.00 ,Collision,Approved,2/2/2024,4/24/2024,1/24/2024
